SEQ_ID	SYMBOL	GENE_NAME
NM_001024327	LOC500110	hypothetical protein LOC500110
NM_001024328	Gimap7	GTPase, IMAP family member 7
NM_001024329	LOC500124	hypothetical protein LOC500124
NM_001024330	LOC500227	hypothetical protein LOC500227
NM_001024331	Rab43	Ras-related protein RAB43
NM_001024332	LOC500282	hypothetical protein LOC500282
NM_001024333	LOC500292	hypothetical protein LOC500292
NM_001024334	LOC500300	hypothetical protein LOC500300
NM_001024335	MGC112688	hypothetical protein LOC500318
NM_001024336	RGD1565155	hypothetical protein LOC500363
NM_001024337	LOC500331	hypothetical protein LOC500331
NM_001024338	LOC500348	hypothetical protein LOC500348
NM_001024339	Tuba8	tubulin, alpha 8
NM_001024340	LOC500392	hypothetical protein LOC500392
NM_001024341	MGC109194	hypothetical protein LOC500400
NM_001024342	LOC500442	hypothetical protein LOC500442
NM_001024343	LOC500445	hypothetical protein LOC500445
NM_001024344	LOC500449	hypothetical protein LOC500449
NM_001024345	MGC109519	hypothetical protein LOC500450
NM_001024346	LOC500475	hypothetical protein LOC500475
NM_001024347	LOC500540	hypothetical protein LOC500540
NM_001024348	LOC500567	hypothetical protein LOC500567
NM_001024349	LOC500598	similar to tumor necrosis factor receptor superfamily, member 18
NM_001024350	LOC500705	hypothetical protein LOC500705
NM_001024351	LOC500761	hypothetical protein LOC500761
NM_001024352	LOC500827	hypothetical protein LOC500827
NM_001024354	MGC108882	hypothetical protein LOC500900
NM_001024355	LOC500909	hypothetical protein LOC500909
NM_001024356	LOC500928	hypothetical protein LOC500928
NM_001024357	MGC105560	hypothetical protein LOC500941
NM_001024358	LOC500961	hypothetical protein LOC500961
NM_001024359	Pmp22cd	PMP22 claudin domain-containing protein
NM_001024360	nod3l	hypothetical protein LOC501101
NM_001024361	LOC501110	hypothetical protein LOC501110
NM_001024363	LOC501147	hypothetical protein LOC501147
NM_001024364	LOC501180	hypothetical protein LOC501180
NM_001024365	LOC501232	hypothetical protein LOC501232
NM_001024366	LOC501617	hypothetical protein LOC501617
NM_001024367	LOC501619	hypothetical protein LOC501619
NM_001024368	LOC501665	hypothetical protein LOC501665
NM_001024369	Ypel4	yippee-like 4
NM_001024370	LOC502782	hypothetical protein LOC502782
NM_001024371	Ncald	neurocalcin delta
NM_001024685	T2R38	similar to putative taste receptor T2R26
NM_001024686	T2R16	bitter taste receptor T2R16
NM_001024687	Mrc2	mannose receptor, C type 2
NM_001024739	Tekt3	tektin 3
NM_001024740	Ccdc116	coiled-coil domain containing 116
NM_001024741	Chaf1b	chromatin assembly factor 1, subunit B (p60)
NM_001024742	LOC289482	hypothetical protein LOC289482
NM_001024743	Ugp2	UDP-glucose pyrophosphorylase 2
NM_001024744	Cdc16	CDC16 cell division cycle 16 homolog
NM_001024745	Slc39a6	solute carrier family 39 (metal ion transporter), member 6
NM_001024746	Katnb1	katanin p80 (WD40-containing) subunit B 1
NM_001024747	Phf10	PHD finger protein 10
NM_001024748	Dmwd	dystrophia myotonica-containing WD repeat motif
NM_001024749	RGD1305713	hypothetical protein LOC293059
NM_001024750	Pold3	polymerase (DNA-directed), delta 3, accessory subunit
NM_001024751	Sox6	SRY-box containing gene 6
NM_001024752	Snx15	sorting nexin 15
NM_001024753	Ifit2	interferon-induced protein with tetratricopeptide repeats 2
NM_001024754	Gmps	guanine monphosphate synthetase
NM_001024755	Ube2l6	ubiquitin-conjugating enzyme E2L 6
NM_001024756	Ythdf1	YTH domain family 1
NM_001024757	Wwp1	WW domain containing E3 ubiquitin protein ligase 1
NM_001024758	Ttll10	tubulin tyrosine ligase-like family, member 10
NM_001024759	Tmem5	transmembrane protein 5
NM_001024760	RGD1307682	hypothetical protein LOC300675
NM_001024761	Lrrfip2	leucine rich repeat (in FLII) interacting protein 2
NM_001024762	Prim2	DNA primase, p58 subunit
NM_001024763	Nif3l1	Ngg1 interacting factor 3-like 1
NM_001024764	Slc36a3	solute carrier family 36 (proton/amino acid symporter), member 3
NM_001024765	Nbr1	neighbor of Brca1 gene 1
NM_001024766	Wdr5b	WD repeat domain 5B
NM_001024767	Dyrk3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3
NM_001024768	Elf3	E74-like factor 3
NM_001024769	Cdc73	parafibromin
NM_001024770	Sec3l1	SEC3-like 1
NM_001024771	Tnip2	TNFAIP3 interacting protein 2
NM_001024772	RGD1306802	hypothetical protein LOC306387
NM_001024773	Brf2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like
NM_001024774	Def8	differentially expressed in FDCP 8
NM_001024775	Zfp110	zinc finger protein 110
NM_001024776	Hipk4	homeodomain interacting protein kinase 4
NM_001024777	LOC308954	hypothetical protein LOC308954
NM_001024778	Rad17	RAD17 homolog
NM_001024779	Cyp2u1	cytochrome P450, family 2, subfamily u, polypeptide 1
NM_001024780	Prkra	protein kinase, interferon inducible double stranded RNA dependent activator
NM_001024781	Sox18	SRY-box containing gene 18
NM_001024782	Lrrc8	leucine-rich repeat-containing 8
NM_001024783	Creld1	cysteine-rich with EGF-like domains 1
NM_001024785	Mcart1	mitochondrial carrier triple repeat 1
NM_001024786	Wdr78	WD repeat domain 78
NM_001024787	Osgepl1	O-sialoglycoprotein endopeptidase-like 1
NM_001024788	RGD1310036	hypothetical protein LOC316000
NM_001024789	Nap1l2	nucleosome assembly protein 1-like 2
NM_001024790	Usp7	ubiquitin specific protease 7 (herpes virus-associated)
NM_001024791	Epn3	epsin 3
NM_001024792	RGD1306193	hypothetical protein LOC360636
NM_001024793	Cdc27	cell division cycle 27 homolog
NM_001024794	Mettl3	methyltransferase-like 3
NM_001024795	Rnf44	ring finger protein 44
NM_001024796	Spin	spindlin
NM_001024797	LOC499653	Dingo protein
NM_001024799	RGD1306302	hypothetical protein LOC362320
NM_001024800	Txndc1	thioredoxin domain containing 1
NM_001024801	Zw10	ZW10 homolog, centromere/kinetochore protein
NM_001024802	Tparl	TPA regulated locus
NM_001024803	LOC364427	hypothetical protein LOC364427
NM_001024805	Hbe2	hemoglobin, epsilon 2
NM_001024823	Gnas	GNAS complex locus Alex
NM_001024864	MGC116147	leucine zipper domain protein
NM_001024865	Mrpl40	mitochondrial ribosomal protein L40
NM_001024866	RGD1311732	hypothetical protein LOC289859
NM_001024867	MGC116266	hypothetical protein LOC290775
NM_001024868	RGD1309809	hypothetical protein LOC292898
NM_001024869	MGC116096	hypothetical protein LOC295062
NM_001024870	Ctnnbl1	beta catenin-like 1
NM_001024871	Rabepk	Rab9 effector protein with kelch motifs
NM_001024872	2610020o08rik	nuclear NF-kappaB activating protein
NM_001024873	LOC298346	hypothetical protein LOC298346
NM_001024874	Rhox9	reproductive homeobox on X chromosome, 9
NM_001024875	RGD1307254	hypothetical protein LOC298712
NM_001024876	RGD1305156	hypothetical protein LOC299957
NM_001024877	MGC114417	hypothetical protein LOC300149
NM_001024878	Znrf4	zinc and ring finger 4
NM_001024879	Dnpep	aspartyl aminopeptidase
NM_001024880	MGC114483	hypothetical protein LOC302434
NM_001024881	Tns4	tensin 4
NM_001024882	Ccdc19	coiled-coil domain containing 19
NM_001024883	RGD1310810	hypothetical protein LOC306549
NM_001024884	RGD1309362	hypothetical protein LOC307415
NM_001024885	RGD1308637	hypothetical protein LOC308820
NM_001024886	Dcun1d3	DCN1, defective in cullin neddylation 1, domain containing 3
NM_001024887	Sigirr	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain
NM_001024888	Gatad2b	GATA zinc finger domain containing 2B
NM_001024889	LOC313451	hypothetical protein LOC313451
NM_001024890	MGC114520	hypothetical protein LOC315915
NM_001024891	RGD1306477	hypothetical protein LOC316557
NM_001024892	Rnf12	ring finger protein 12
NM_001024893	MGC114427	hypothetical protein LOC317297
NM_001024894	Plac1	placenta-specific 1
NM_001024895	MGC114492	hypothetical protein LOC317324
NM_001024896	Hsdl1	hydroxysteroid dehydrogenase like 1
NM_001024897	Ehd2	EH-domain containing 2
NM_001024898	Paf1	Paf1, RNA polymerase II associated factor, homolog
NM_001024899	Sufu	suppressor of fused
NM_001024900	Tmem55a	transmembrane protein 55A
NM_001024901	LOC363437	hypothetical protein LOC363437
NM_001024902	Lrrc56	leucine rich repeat containing 56
NM_001024903	Sertad2	SERTA domain containing 2
NM_001024904	MGC116171	hypothetical protein LOC498678
NM_001024905	MGC116121	hypothetical protein LOC498830
NM_001024906	Arl2bp	ADP-ribosylation factor-like 2 binding protein
NM_001024907	MGC114499	hypothetical protein LOC499135
NM_001024908	MGC114471	hypothetical protein LOC500899
NM_001024909	MGC114464	hypothetical protein LOC500925
NM_001024925	GPR34	G protein-coupled receptor 34
NM_001024964	Exoc3	exocyst complex component 3
NM_001024965	RGD1306925	trafficking protein particle complex protein 2
NM_001024966	Samd14	sterile alpha motif domain containing 14
NM_001024967	Tmem106a	hypothetical protein LOC287722
NM_001024968	RGD1307594	hypothetical protein LOC288454
NM_001024970	RGD1305572	hypothetical protein LOC289315
NM_001024971	RGD1311565	hypothetical protein LOC290626
NM_001024972	RGD1310061	hypothetical protein LOC290912
NM_001024974	RGD1311863	hypothetical protein LOC293871
NM_001024975	RGD1307336	hypothetical protein LOC293950
NM_001024976	RGD1304835	hypothetical protein LOC294430
NM_001024977	RGD1310405	hypothetical protein LOC294431
NM_001024978	RGD1305844	hypothetical protein LOC294883
NM_001024979	RGD1311086	hypothetical protein LOC295228
NM_001024980	RGD1308412	hypothetical protein LOC295283
NM_001024981	RGD1304978	hypothetical protein LOC295985
NM_001024982	Cpne9	copine family member IX
NM_001024983	RGD1559532	RGD1559532
NM_001024984	RGD1310606	hypothetical protein LOC297728
NM_001024986	RGD1306186	hypothetical protein LOC298621
NM_001024987	RGD1310669	hypothetical protein LOC300361
NM_001024988	RGD1307343	hypothetical protein LOC300463
NM_001024989	Trex1	three prime repair exonuclease 1
NM_001024990	RGD1304601	hypothetical protein LOC302972
NM_001024991	Fahd1	fumarylacetoacetate hydrolase domain containing 1
NM_001024992	LOC303332	hypothetical protein LOC303332
NM_001024993	RGD1304726	hypothetical protein LOC303518
NM_001024995	Lrrc33	leucine rich repeat containing 33
NM_001024996	RGD1306932	hypothetical protein LOC304346
NM_001024997	LOC304743	hypothetical protein LOC304743
NM_001024998	RGD1304696	hypothetical protein LOC307180
NM_001024999	RGD1307787	hypothetical protein LOC307742
NM_001025000	RGD1309288	hypothetical protein LOC308129
NM_001025001	LOC308990	hypothetical protein LOC308990
NM_001025002	LOC310926	hypothetical protein LOC310926
NM_001025003	RGD1305178	hypothetical protein LOC311855
NM_001025004	LOC312102	hypothetical protein LOC312102
NM_001025006	RGD1304783	hypothetical protein LOC314644
NM_001025007	RGD1310852	hypothetical protein LOC314992
NM_001025008	LOC314996	hypothetical protein LOC314996
NM_001025009	Josd1	Josephin domain containing 1
NM_001025010	RGD1311293	hypothetical protein LOC315599
NM_001025011	RGD1305464	hypothetical protein LOC315702
NM_001025012	RGD1307449	hypothetical protein LOC316687
NM_001025013	LOC317274	hypothetical protein LOC317274
NM_001025014	Tmem50b	transmembrane protein 50B
NM_001025015	Gtpbp8	GTP-binding protein 8
NM_001025016	RGD1309120	ChaC, cation transport regulator-like 2
NM_001025017	Them4	thioesterase superfamily member 4
NM_001025018	Tmem77	hypothetical protein LOC362011
NM_001025019	RGD1306582	hypothetical protein LOC362103
NM_001025020	RGD1310753	hypothetical protein LOC362235
NM_001025021	LOC362526	hypothetical protein LOC362526
NM_001025022	RGD1308059	hypothetical protein LOC362535
NM_001025023	LOC362557	hypothetical protein LOC362557
NM_001025024	RGD1311362	hypothetical protein LOC362914
NM_001025025	LOC363267	hypothetical protein LOC363267
NM_001025026	Stap2	signal-transducing adaptor protein-2
NM_001025027	Fundc1	FUN14 domain containing 1
NM_001025028	LOC364514	hypothetical protein LOC364514
NM_001025029	RGD1311681	hypothetical protein LOC364674
NM_001025031	LOC497888	hypothetical protein LOC497888
NM_001025032	Cd96	CD96 antigen
NM_001025033	LOC498154	hypothetical protein LOC498154
NM_001025034	LOC498796	hypothetical protein LOC498796
NM_001025035	Thnsl1	threonine synthase-like 1
NM_001025036	LOC499339	hypothetical protein LOC499339
NM_001025038	LOC499465	hypothetical protein LOC499465
NM_001025039	LOC499602	hypothetical protein LOC499602
NM_001025041	Ier5l	immediate early response 5-like
NM_001025042	LOC499856	hypothetical protein LOC499856
NM_001025043	LOC499885	hypothetical protein LOC499885
NM_001025044	LOC499980	hypothetical protein LOC499980
NM_001025045	LOC500086	hypothetical protein LOC500086
NM_001025046	LOC500102	hypothetical protein LOC500102
NM_001025047	LOC500251	hypothetical protein LOC500251
NM_001025049	Acrbp	acrosin binding protein
NM_001025050	Cdca8	cell division cycle associated 8
NM_001025051	LOC500638	hypothetical protein LOC500638
NM_001025052	LOC500825	hypothetical protein LOC500825
NM_001025053	Galnt4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)
NM_001025054	LOC500956	hypothetical protein LOC500956
NM_001025055	LOC500991	hypothetical protein LOC500991
NM_001025056	Gmppa	GDP-mannose pyrophosphorylase A
NM_001025057	LOC502176	hypothetical protein LOC502176
NM_001025058	LOC502372	hypothetical protein LOC502372
NM_001025059	LOC502414	hypothetical protein LOC502414
NM_001025060	LOC502684	hypothetical protein LOC502684
NM_001025061	RGD1566290	hypothetical protein LOC502756
NM_001025062	RGD1561078	hypothetical protein LOC502757
NM_001025063	Scrn1	secernin 1
NM_001025064	LOC502894	hypothetical protein LOC502894
NM_001025065	Angptl3	angiopoietin-like 3
NM_001025066	LOC503164	hypothetical protein LOC503164
NM_001025111	Cd300lf	CD300 antigen like family member F
NM_001025112	Wbscr17	Williams-Beuren syndrome chromosome region 17 homolog
NM_001025113	Kpna5	karyopherin alpha 5 (importin alpha 6)
NM_001025114	Wasf1	WAS protein family, member 1
NM_001025115	RGD1311584	similar to stem cell adaptor protein STAP-1
NM_001025116	RGD1565230	hypothetical protein LOC305844
NM_001025117	LOC309169	hypothetical protein LOC309169
NM_001025118	LOC310665	hypothetical protein LOC310665
NM_001025119	RGD1311487	similar to TNF intracellular domain-interacting protein
NM_001025120	Gtf3c2	general transcription factor IIIC, polypeptide 2, beta 110kDa
NM_001025121	Cdkl1	cyclin-dependent kinase-like 1 (CDC2-related kinase)
NM_001025122	Cyhr1	cysteine and histidine rich 1
NM_001025123	Kdelc2	KDEL (Lys-Asp-Glu-Leu) containing 2
NM_001025124	RGD1305160	N-terminal Asn amidase
NM_001025125	Sumf2	sulfatase modifying factor 2
NM_001025126	RGD1304773	similar to constitutive photomorphogenic protein 1
NM_001025127	Ripx	rap2 interacting protein x
NM_001025128	RGD1304774	hypothetical protein LOC360969
NM_001025129	RGD1306327	similar to downregulated in renal cell carcinoma
NM_001025130	Bag4	BCL2-associated athanogene 4
NM_001025131	Sult2a2	sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 2
NM_001025132	Cnih2	cornichon homolog 2
NM_001025133	Capn13	calpain 13
NM_001025134	Qpc	low molecular mass ubiquinone-binding protein
NM_001025135	LOC497995	hypothetical protein LOC497995
NM_001025136	Clp1	hexamethylene bis-acetamide inducible 1
NM_001025137	Ier5	immediate early response 5
NM_001025138	LOC498365	hypothetical protein LOC498365
NM_001025139	Zpbp	zona pellucida binding protein
NM_001025141	Ccnb1ip1	cyclin B1 interacting protein 1
NM_001025142	Trim35	tripartite motif-containing 35
NM_001025143	LOC498606	hypothetical protein LOC498606
NM_001025144	Hrmt1l1	HMT1 hnRNP methyltransferase-like 1
NM_001025145	Zfp365	zinc finger protein 365
NM_001025146	Ndufs4	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)
NM_001025147	Gpr160	G protein-coupled receptor 160
NM_001025148	Galntl5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5
NM_001025149	RGD1560602	hypothetical protein LOC500089
NM_001025150	RGD1562314	hypothetical protein LOC500101
NM_001025151	LOC500625	hypothetical protein LOC500625
NM_001025152	Mtac2d1	membrane targeting (tandem) C2 domain containing 1
NM_001025153	Iqcf3	IQ motif containing F3
NM_001025155	Lrrc17	leucine rich repeat containing 17
NM_001025270	Mc3r	melanocortin 3 receptor
NM_001025271	Sfpq	NonO/p54nrb homolog
NM_001025272	Pgam5	phosphoglycerate mutase family member 5
NM_001025275	Rad23b	RAD23b homolog
NM_001025276	RGD1305807	hypothetical protein LOC298077
NM_001025277	RGD1308076	hypothetical protein LOC300687
NM_001025278	RGD1306402	hypothetical protein LOC305583
NM_001025279	Reep4	receptor accessory protein 4
NM_001025280	Slc10a5	solute carrier family 10 (sodium/bile acid cotransporter family), member 5
NM_001025281	Slc9a8	solute carrier family 9 (sodium/hydrogen exchanger), member 8
NM_001025282	Orc3l	origin recognition complex, subunit 3-like
NM_001025283	RGD1307173	hypothetical protein LOC315549
NM_001025284	Rpusd4	RNA pseudouridylate synthase domain containing 4
NM_001025285	RGD1309552	hypothetical protein LOC362957
NM_001025287	RGD1564084	timeless interacting protein
NM_001025288	MGC114388	hypothetical protein LOC501668
NM_001025289	Mbp	Golli-mbp isoform 1
NM_001025291	Mbp	myelin basic protein isoform 1
NM_001025292	Mbp	myelin basic protein isoform 2
NM_001025293	Mbp	myelin basic protein isoform 3
NM_001025400	Smndc1	survival motor neuron domain containing 1
NM_001025401	Pcnt1	pericentrin 1
NM_001025402	Umps	uridine monophosphate synthetase
NM_001025403	Rbms2	RNA binding motif, single stranded interacting protein 2
NM_001025404	LOC292668	pregnancy-specific beta 1-glycoprotein
NM_001025405	Ruvbl2	RuvB-like 2
NM_001025406	Exosc9	exosome component 9
NM_001025407	Alg5	asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)
NM_001025408	Mrps25	mitochondrial ribosomal protein S25
NM_001025409	Hdac1	histone deacetylase 1
NM_001025410	Chmp5	chromatin modifying protein 5
NM_001025411	Dnaja4	DnaJ (Hsp40) homolog, subfamily A, member 4
NM_001025412	RGD1305651	hypothetical protein LOC303321
NM_001025413	RGD1306702	hypothetical protein LOC304325
NM_001025414	Dnd1	dead end homolog 1
NM_001025415	Ch25h	cholesterol 25-hydroxylase
NM_001025416	Dok1	docking protein 1
NM_001025417	Actl7b	actin-like 7b
NM_001025418	Ppp2r1b	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform
NM_001025419	Tax1bp3	Tax1 (human T-cell leukemia virus type I) binding protein 3
NM_001025421	Cugbp1	CUG triplet repeat, RNA binding protein 1
NM_001025422	Irak2	interleukin-1 receptor-associated kinase 2
NM_001025423	Adhfe1	alcohol dehydrogenase, iron containing, 1
NM_001025424	Usp3	ubiquitin specific protease 3
NM_001025425	Map2k7	mitogen activated protein kinase kinase 7
NM_001025563	Pus1	pseudouridine synthase 1
NM_001025623	Vnn1	vanin 1
NM_001025624	Hmgn2	high mobility group protein 17
NM_001025625	Stub1	STIP1 homology and U-Box containing protein 1
NM_001025626	RGD1306595	hypothetical protein LOC287554
NM_001025627	Leprel1	leprecan-like 1
NM_001025628	Ropn1	ropporin, rhophilin associated protein 1
NM_001025629	Mospd3	motile sperm domain containing 3
NM_001025630	Arl6ip4	ADP-ribosylation factor-like 6 interacting protein 4
NM_001025631	RGD1310837	hypothetical protein LOC289439
NM_001025633	Hnrpc	heterogeneous nuclear ribonucleoprotein C
NM_001025634	RGD1304748	hypothetical protein LOC290500
NM_001025635	Nars	asparaginyl-tRNA synthetase
NM_001025636	RGD1311742	hypothetical protein LOC291676
NM_001025637	Psmb10	proteasome (prosome, macropain) subunit, beta type 10
NM_001025638	Stx11	syntaxin 11
NM_001025639	LOC292543	hypothetical protein LOC292543
NM_001025640	RGD1305031	hypothetical protein LOC292640
NM_001025641	LOC292666	hypothetical protein LOC292666
NM_001025642	Fbxo46	F-box protein 46
NM_001025643	Fbl	fibrillarin
NM_001025644	Syngr4	synaptogyrin 4
NM_001025645	Mus81	MUS81 endonuclease homolog
NM_001025646	Cep55	centrosomal protein 55
NM_001025647	RGD1310597	hypothetical protein LOC294667
NM_001025648	Snapap	SNAP-associated protein
NM_001025649	Tm9sf4	transmembrane 9 superfamily protein member 4
NM_001025650	Dusp11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)
NM_001025651	Sytl1	synaptotagmin-like 1
NM_001025652	RGD1305420	hypothetical protein LOC298072
NM_001025653	Lrrc42	leucine rich repeat containing 42
NM_001025654	LOC298353	hypothetical protein LOC298353
NM_001025655	Cmpk	cytidylate kinase
NM_001025656	LOC298442	hypothetical protein LOC298442
NM_001025657	Ssu72	Ssu72 RNA polymerase II CTD phosphatase homolog
NM_001025658	LOC299152	hypothetical protein LOC299152
NM_001025659	LOC299920	hypothetical protein LOC299920
NM_001025660	Ei24	etoposide induced 2.4 mRNA
NM_001025661	Crb3	crumbs homolog 3
NM_001025662	LOC301165	hypothetical protein LOC301165
NM_001025663	LOC302855	hypothetical protein LOC302855
NM_001025664	Wsb1	WD repeat and SOCS box-containing 1 isoform 2
NM_001025665	LOC304484	hypothetical protein LOC304484
NM_001025666	RGD1310572	hypothetical protein LOC304646
NM_001025667	Rnf2	ring finger protein 2
NM_001025668	RGD1306783	hypothetical protein LOC304928
NM_001025669	RGD1307161	hypothetical protein LOC305031
NM_001025670	LOC305166	hypothetical protein LOC305166
NM_001025671	MGC114410	hypothetical protein LOC305251
NM_001025672	Pspc1	paraspeckle protein 1
NM_001025673	LOC306464	hypothetical protein LOC306464
NM_001025675	Tubb6	tubulin, beta 6
NM_001025676	Rbm22	RNA binding motif protein 22
NM_001025677	RGD1308782	hypothetical protein LOC308318
NM_001025678	Fkrp	fukutin related protein
NM_001025679	LOC308394	hypothetical protein LOC308394
NM_001025680	Gpr4	G protein-coupled receptor 4
NM_001025681	Ttc23	tetratricopeptide repeat domain 23
NM_001025682	Cdr2	cerebellar degeneration-related 2
NM_001025683	RGD1311946	hypothetical protein LOC309145
NM_001025684	Pex11b	peroxisomal biogenesis factor 11b
NM_001025685	Cd5l	CD5 antigen-like
NM_001025686	Sec22l1	SEC22 vesicle trafficking protein-like 1
NM_001025687	Dclre1b	DNA cross-link repair 1B, PSO2 homolog
NM_001025688	Palmd	palmdelphin
NM_001025691	RGD1311739	hypothetical protein LOC311428
NM_001025692	Sdcbp2	syndecan binding protein (syntenin) 2
NM_001025693	Cdca7	cell division cycle associated 7
NM_001025694	MGC114439	hypothetical protein LOC311797
NM_001025695	Cops5	COP9 (constitutive photomorphogenic) homolog, subunit 5
NM_001025696	Yars	tyrosyl-tRNA synthetase
NM_001025697	RGD1305387	hydroxysteroid dehydrogenase like 2
NM_001025698	Sf3a3	splicing factor 3a, subunit 3
NM_001025699	LOC313618	macoilin
NM_001025700	Fbxl12	F-box and leucine-rich repeat protein 12
NM_001025701	MGC116373	hypothetical protein LOC314949
NM_001025703	RGD1305776	hypothetical protein LOC315160
NM_001025705	Azi2	5-azacytidine induced gene 2
NM_001025706	Fem1a	feminization 1 homolog a
NM_001025707	Tcfeb	transcription factor EB
NM_001025708	Ogfrl1	opioid growth factor receptor-like 1
NM_001025709	Pdcl3	phosducin-like 3
NM_001025710	RGD1309752	hypothetical protein LOC316415
NM_001025711	Atg4b	APG4 (ATG4) autophagy-related homolog B
NM_001025712	Itm2a	integral membrane protein 2A
NM_001025713	MGC114529	hypothetical protein LOC317590
NM_001025714	Pldn	pallidin
NM_001025715	Limd2	LIM domain containing 2
NM_001025716	Vps4b	vacuolar protein sorting 4b
NM_001025717	Arpc5	actin related protein 2/3 complex, subunit 5
NM_001025718	MGC112830	hypothetical protein LOC361178
NM_001025719	RGD1311307	hypothetical protein LOC361238
NM_001025720	Dhtkd1	dehydrogenase E1 and transketolase domain containing 1
NM_001025721	Colec12	collectin sub-family member 12
NM_001025722	Cdk10	cyclin-dependent kinase (CDC2-like) 10
NM_001025723	LOC361473	hypothetical protein LOC361473
NM_001025724	Pnldc1	poly(A)-specific ribonuclease (PARN)-like domain containing 1
NM_001025725	Hirip3	HIRA interacting protein 3
NM_001025726	Srpk1	serine/arginine-rich protein specific kinase 1
NM_001025727	Rnf8	ring finger protein 8
NM_001025728	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
NM_001025729	Zbed3	zinc finger, BED domain containing 3
NM_001025730	Fbxw5	F-box and WD repeat domain containing 5
NM_001025731	Gle1l	GLE1 RNA export mediator-like (yeast
NM_001025732	Nol5a	nucleolar protein 5A
NM_001025733	Procr	protein C receptor, endothelial
NM_001025734	LOC362414	hypothetical protein LOC362414
NM_001025735	Tcea1	transcription elongation factor A (SII) 1
NM_001025736	Gnl2	guanine nucleotide binding protein-like 2 (nucleolar)
NM_001025737	Smpdl3b	sphingomyelin phosphodiesterase, acid-like 3B
NM_001025738	Fusip1	FUS interacting protein (serine-arginine rich) 1
NM_001025739	Rpl11	ribosomal protein L11
NM_001025740	Rrm2	ribonucleotide reductase M2
NM_001025741	Eml1	echinoderm microtubule associated protein like 1
NM_001025742	Dazap1	DAZ associated protein 1
NM_001025743	Wdr61	WD repeat domain 61
NM_001025744	Tusc4	tumor suppressor candidate 4
NM_001025745	Zfand2b	zinc finger, AN1 type domain 2B
NM_001025746	Rhox3	reproductive homeobox on X chromosome 3
NM_001025747	Yipf6	Yip1 domain family, member 6
NM_001025748	Taz	tafazzin
NM_001025749	Grap	GRB2-related adaptor protein
NM_001025750	Plek	pleckstrin
NM_001025751	Blk	B lymphoid kinase
NM_001025752	Ccrk	cell cycle related kinase
NM_001025753	Rem1	rad and gem related GTP binding protein 1
NM_001025754	Neil1	nei endonuclease VIII-like 1
NM_001025755	MGC116197	hypothetical protein LOC367620
NM_001025756	MGC114379	hypothetical protein LOC497863
NM_001025757	Trpv3	heat sensitive channel TRPV3
NM_001025758	LOC497959	hypothetical protein LOC497959
NM_001025759	MGC112692	hypothetical protein LOC498157
NM_001025760	MGC116363	hypothetical protein LOC498160
NM_001025761	MGC116327	hypothetical protein LOC498183
NM_001025762	LOC498295	SET and MYND domain containing 3
NM_001025763	Defa9	hypothetical protein LOC498658
NM_001025764	LOC498933	hypothetical protein LOC498933
NM_001025765	LOC498945	hypothetical protein LOC498945
NM_001025766	LOC498951	hypothetical protein LOC498951
NM_001025767	Blnk	B-cell linker
NM_001025768	LOC499933	hypothetical protein LOC499933
NM_001025769	C20orf165	chromosome 20 open reading frame 165
NM_001025770	Tsga14	testis specific, 14
NM_001025771	LOC500118	hypothetical protein LOC500118
NM_001025772	MGC114440	hypothetical protein LOC500566
NM_001025773	LOC500590	hypothetical protein LOC500590
NM_001025774	LOC500800	hypothetical protein LOC500800
NM_001025775	LOC501194	hypothetical protein LOC501194
NM_001025776	LOC503423	hypothetical protein LOC503423
NM_001029897	Strn3	striatin, calmodulin binding protein 3
NM_001029898	Mrpl19	ribosomal protein, mitochondrial, L15
NM_001029899	Adam23	a disintegrin and metalloprotease domain 23
NM_001029900	Mrpl12	ribosomal protein, mitochondrial, L12
NM_001029901	Csf1r	colony stimulating factor 1 receptor
NM_001029902	Ptprk	protein tyrosine phosphatase, receptor type, K, extracellular region
NM_001029903	LOC360721	growth and transformation-dependent protein
NM_001029904	Rnase1	ribonuclease, RNase A family, 1 (pancreatic)
NM_001029908	Klrc3	killer cell lectin-like receptor subfamily C, member 3
NM_001029909	CPG2	CPG2 protein
NM_001029910	Pdcd6ip	ALG-2 interacting protein 1
NM_001029911	Cit	citron
NM_001029913	RGD1311667	hypothetical protein LOC291165
NM_001029914	LOC291823	hypothetical protein LOC291823
NM_001029915	Bxdc2	brix domain containing 2
NM_001029916	RGD1309720	hypothetical protein LOC295971
NM_001029917	RGD1309929	hypothetical protein LOC298787
